,Unnamed: 0,address,description,postal_code,lat,lon,square_lat,square_lon
163,163,"BLK 122 ANG MO KIO AVE 3, #01-1753",Bin collection; E-waste accepted: Batteries and Lamps only,560122,1.37018859803198,103.843413235622,7,14
164,164,"BLK 233 ANG MO KIO AVE 3, #01-1168",Bin collection; E-waste accepted: Batteries and Lamps only,560233,1.36754924240467,103.83674063165,7,13
165,165,"BLK 352 CLEMENTI AVE 2, #01-91",Bin collection; E-waste accepted: Batteries and Lamps only,120352,1.31427859810327,103.771350564245,5,10
166,166,"BLK 544 JURONG WEST ST 42, #01-97",Bin collection; E-waste accepted: Batteries and Lamps only,640544,1.35239357898915,103.715759515182,7,7
167,167,"BLK 18 TECK WHYE LANE, #01-95",Bin collection; E-waste accepted: Batteries and Lamps only,680018,1.37829768231958,103.754071399254,8,9
168,168,"BLK 154A BUKIT BATOK WEST AVE 8, #01-01",Bin collection; E-waste accepted: Batteries and Lamps only,651154,1.34737179771512,103.743698108315,6,8
169,169,"BLK 547 SEGAR ROAD, #01-06",Bin collection; E-waste accepted: Batteries and Lamps only,670547,1.38824020983746,103.769575393265,8,10
170,170,"BLK 446 FAJAR RD, #01-01",Bin collection; E-waste accepted: Batteries and Lamps only,670446,1.38400582300801,103.771029605045,8,10
171,171,"BLK 440 BUKIT BATOK WEST AVE 8, #01-10",Bin collection; E-waste accepted: Batteries and Lamps only,650440,1.35572307969423,103.739303113535,7,8
172,172,"BLK 292 BUKIT BATOK EAST AVENUE 6, #01-02",Bin collection; E-waste accepted: Batteries and Lamps only,650292,1.34447135579337,103.755394621037,6,9
173,173,"BLK 202 MARSILING DRIVE, #01-138",Bin collection; E-waste accepted: Batteries and Lamps only,730202,1.44315120177467,103.775164786038,11,10
174,174,"NO.1 WOODLANDS ROADS, #01-07",Bin collection; E-waste accepted: Batteries and Lamps only,677899,1.38060512479732,103.760041590511,8,9
175,175,"200 UPP THOMSON RD, #B1-01",Bin collection; E-waste accepted: Batteries and Lamps only,574424,1.35184498416505,103.83605365678,7,13
176,176,"BLK 85 DAWSON ROAD, #01-01",Bin collection; E-waste accepted: Batteries and Lamps only,141085,1.29531965769669,103.809758599549,4,12
177,177,"BLK 420A CLEMENTI AVE 1, #01-01",Bin collection; E-waste accepted: Batteries and Lamps only,121420,1.30973330594899,103.768637303114,4,10
178,178,"5 CHANGI BUSINESS PARK CENTRAL 1, CHANGI CITY POINT, #01-56","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",486038,1.33432515600981,103.962389303195,6,20
179,179,8 ANG MO KIO INDUSTRIAL PARK 2,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",569500,1.37189393393221,103.864574202325,8,15
