,Unnamed: 0,address,description,postal_code,lat,lon,square_lat,square_lon
7970,7970,HOLLAND DRIVE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",272010,1.30840447378582,103.7936974895342,4,11
7971,7971,PINE CLOSE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",392011,1.308529033154597,103.8829526323876,4,16
7972,7972,JALAN TIGA,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",391049,1.308509329811038,103.8853462318214,4,16
7973,7973,VEERASAMY ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",200638,1.307233427276813,103.8553458426241,4,14
7974,7974,BEDOK RESERVOIR ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",411145,1.334183382238251,103.9114490956632,6,18
7975,7975,DEPOT ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",100110,1.281388700011538,103.8093629187353,3,12
7976,7976,PUNGGOL CENTRAL,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",820301,1.403719393660878,103.9061380133256,9,17
7977,7977,HOUGANG AVENUE 2,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",530704,1.364923196360514,103.8893795339886,7,16
7978,7978,HOUGANG AVENUE 2,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",530703,1.365530951406085,103.8894606420568,7,16
7979,7979,HOUGANG AVENUE 2,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",530702,1.365758485055607,103.8897201377182,7,16
7980,7980,HOUGANG AVENUE 2,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",530701,1.366125017132628,103.8899609042249,7,16
7981,7981,HOUGANG AVENUE 4,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",530665,1.374094098635246,103.8841637700479,8,16
7982,7982,SIN MING AVENUE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",570454,1.35910249753842,103.8305783557641,7,13
7983,7983,SIN MING AVENUE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",570405,1.362852916674497,103.8347395038337,7,13
7984,7984,SIN MING AVENUE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",570442,1.359235752493497,103.8323688498658,7,13
7985,7985,SIN MING AVENUE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",570408,1.363346513242941,103.8348396387355,7,13
7986,7986,SIN MING AVENUE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",570450,1.35835553124262,103.8303978131142,7,13
7987,7987,YISHUN AVENUE 4,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",761675,1.419375146198636,103.8432259722553,10,14
7988,7988,BANGKIT ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",670248,1.381371643094753,103.7742989687164,8,10
