,address,description,postal_code,lat,lon
354,"AH HOOD ROAD, ZHONGSHAN MALL","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",329984,1.32702990626384,103.846490874615
355,"565 PASIR RIS ST 51, REPAIR KOPITIAM","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",510565,1.36882713078143,103.950296247759
356,"285 TAMPINES STREET 22, TAMPINES CHANGKAT ZONE 4 RC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",520285,1.35001073882934,103.952816065919
357,"364 TAMPINES STREET 34, TAMPINES CHANGKAT ZONE 8 RC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",520364,1.35693800555856,103.959873499831
358,"430 TAMPINES STREET 41, TAMPINES NORTH ZONE 3 RC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",520430,1.35955258017468,103.950148200773
359,"730 TAMPINES STREET 71, TAMPINES COURTVIEW RC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",520730,1.35670605826191,103.933499184206
360,"736 TAMPINES STREET 72, TAMPINES GREENVALE RC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",520736,1.35904159378304,103.934383364035
361,"842 TAMPINES STREET 82, TAMPINES VILLE RN","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",520842,1.35173850438617,103.935952394886
362,"ANG MO KIO DRIVE, #A1-12","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",567720,1.37789203173292,103.856411986641
363,"108 DEPOT ROAD, DEPOT HEIGHTS SHOPPING CENTRE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",100108,1.28112226404962,103.810031318703
364,"7 WALLICH STREET, GUOCO TOWER","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",78884,1.27672492300406,103.845155402476
365,"1 BUKIT BATOK CENTRAL LINK, #3-01",Bin collection; E-waste accepted: Ink and toner cartridges,658713,1.35018915982967,103.749021980031
366,"1 JELEBU ROAD, #4-04 & 16/17",Bin collection; E-waste accepted: Ink and toner cartridges,677743,1.38051732815914,103.763961852618
367,4300 ANG MO KIO AVENUE 6,Bin collection; E-waste accepted: Ink and toner cartridges,569842,1.37479009534678,103.845580700883
368,"11 BEDOK NORTH STREET 1, #2-03 & #3-04",Bin collection; E-waste accepted: Ink and toner cartridges,469662,1.32698498848449,103.931620621577
369,"5 BISHAN PLACE, #1-01",Bin collection; E-waste accepted: Ink and toner cartridges,579841,1.34985304885287,103.848843026999
370,"90 HOUGANG AVENUE, #3-11",Bin collection; E-waste accepted: Ink and toner cartridges,538766,1.37231185642959,103.89366161203
371,"21 CHOA CHU KANG AVE 4, #4-01/02",Bin collection; E-waste accepted: Ink and toner cartridges,689812,1.38506835667563,103.744950384161
372,"3155 COMMONWEALTH AVENUE WEST, #5-13/14/15",Bin collection; E-waste accepted: Ink and toner cartridges,129588,1.31485321802259,103.764248205662
373,50 GEYLANG EAST AVE 1,Bin collection; E-waste accepted: Ink and toner cartridges,389777,1.3174429839463,103.885837275913
374,21 JURONG EAST CENTRAL 1,Bin collection; E-waste accepted: Ink and toner cartridges,609732,1.33288484168537,103.739490178697
375,"60 JURONG WEST CENTRAL 3, #1-03",Bin collection; E-waste accepted: Ink and toner cartridges,648346,1.34046956412475,103.704452685304
376,"278 MARINE PARADE ROAD, #1-02",Bin collection; E-waste accepted: Ink and toner cartridges,449282,1.30482859822658,103.9095452826
377,100 VICTORIA STREET,Bin collection; E-waste accepted: Ink and toner cartridges,188064,1.297489753102,103.853942302347
378,"1 TAMPINES WALK, #2-01",Bin collection; E-waste accepted: Ink and toner cartridges,528523,1.35349615471813,103.939683594446
379,6 TOA PAYOH CENTRAL,Bin collection; E-waste accepted: Ink and toner cartridges,319191,1.33352076184374,103.85049180316
380,53 MARGARET DRIVE,Bin collection; E-waste accepted: Ink and toner cartridges,149297,1.29864021099395,103.805430802302
381,"900 SOUTH WOODLANDS DRIVE, #1-03",Bin collection; E-waste accepted: Ink and toner cartridges,730900,1.43507788583776,103.786619621971
382,"930 YISHUN AVE 2, #4-01",Bin collection; E-waste accepted: Ink and toner cartridges,769098,1.42969847969486,103.835776496688
383,"1 SENGKANG SQUARE & COMPASS ONE, #3-28 / #4-19",Bin collection; E-waste accepted: Ink and toner cartridges,545078,1.39209415018227,103.894980032554
384,"23 SERANGOON CENTRAL, #4-82/83",Bin collection; E-waste accepted: Ink and toner cartridges,556083,1.35043817177432,103.87170454945
385,"30 SEMBAWANG DRIVE, #5-01",Bin collection; E-waste accepted: Ink and toner cartridges,757713,1.44822653184262,103.819462104528
386,"8 RAFFLES AVENUE, #3-01",Bin collection; E-waste accepted: Ink and toner cartridges,39802,1.2895095530213,103.855665762299
