,address,description,postal_code,lat,lon
11681,CAMBRIDGE ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",211037,1.316086816920851,103.8488005461151
11682,RIVERVALE DRIVE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",545188,1.394691322231418,103.9045660116066
11683,CHOA CHU KANG NORTH 6,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",681559,1.396169308790148,103.7442761365972
11684,CHOA CHU KANG STREET 62,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",681610,1.398792468856904,103.7434767669136
11685,HOUGANG AVENUE 1,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",531166,1.350870257229105,103.8881096487338
11686,CHOA CHU KANG STREET 62,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",681611,1.400448240755764,103.7437119568354
11687,WOODLANDS DRIVE 70,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",731714,1.441485126934217,103.799089704277
11688,WOODLANDS AVENUE 6,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",731718,1.441433101798779,103.8005060979211
11689,JURONG EAST STREET 21,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",605287,1.337557261309219,103.7440994253937
11690,CHOA CHU KANG STREET 62,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",681625,1.39840946332923,103.7467372414464
11691,BUKIT MERAH VIEW,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",152126,1.284606317847189,103.8232222765814
11692,JALAN MEMBINA,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",161117,1.281951060468231,103.8270184511433
11693,JALAN RUMAH TINGGI,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",151037,1.28937446941936,103.8103459390949
11694,PUNGGOL FIELD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",820174,1.396740788415281,103.9103325343605
11695,WOODLANDS DRIVE 44,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",731549,1.432301989141966,103.794892721497
11696,SIMEI STREET 3,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",520248,1.343718559229247,103.9534179654659
11697,PASIR RIS STREET 51,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",511564,1.368697669107353,103.9494905377296
11698,YUNG PING ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",611163,1.330176404308451,103.7222343210535
11699,WOODLANDS DRIVE 16,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",731588,1.428227352624133,103.7946768638385
11700,GEYLANG SERAI,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",402002,1.317180442472696,103.8983399800198
11701,JOO CHIAT ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",420002,1.315539647128895,103.8987648986422
11702,ALJUNIED CRESCENT,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",381098,1.321094177666042,103.8850570695259
11703,LORONG 6 TOA PAYOH,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",311018,1.336073858176032,103.8565804841378
11704,BUKIT BATOK WEST AVENUE 8,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",650443,1.356141740270265,103.7372917803742
11705,BUKIT BATOK EAST AVENUE 5,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",651241,1.350779743716751,103.7552684708104
11706,PUNGGOL DRIVE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",820676,1.405349086829968,103.9101847127651
11707,PUNGGOL DRIVE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",820677,1.405484439836106,103.9093430764831
11708,PUNGGOL DRIVE,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",820678,1.406082514884818,103.9088796892501
11709,TAMPINES STREET 11,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",522136,1.344954909523344,103.9456219032484
